
2019-05-16 19:55:57 : 

[*] Agent info:
  nonce           	7445767061672652
  jitter          	0.0
  servers         	None
  internal_ip     	192.168.226.1 fe80::9442:f8f3:5b23:22d1 192.168.153.1
                                fe80::78a5:53be:b208:43ea 192.168.1.5 fe80::a41d:e79e:d3d7:49a8
                                169.254.182.30 fe80::4d72:dc5a:5819:b61e
  working_hours   	
  session_key     	h:}c3FNTSI75$M=4<ul1RX+Yp?/\2^Z8
  children        	None
  checkin_time    	2019-05-16 19:55:56
  hostname        	LAMEDIM-LT
  id              	2
  delay           	5
  username        	LAMEDIM-LT\User
  kill_date       	
  parent          	None
  process_name    	powershell
  listener        	http
  process_id      	9996
  profile         	/admin/get.php,/news.php,/login/process.php|Mozilla/5.0 (Windows NT
                                6.1; WOW64; Trident/7.0; rv:11.0) like Gecko
  os_details      	Microsoft Windows 10 Home
  lost_limit      	60
  taskings        	None
  name            	P8A21MH4
  language        	powershell
  external_ip     	192.168.153.1
  session_id      	P8A21MH4
  lastseen_time   	2019-05-16 19:55:56
  language_version	5
  high_integrity  	1


[+] Agent P8A21MH4 now active:


2019-05-16 19:56:59 : 
[*] Agent renamed from P8A21MH4 to UACbypass
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 240128    DeviceSetupManager.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 157696    DeviceSetupManagerAPI.dll                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 35328     DeviceSetupStatusProvider.dll                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:41 AM 745472    DevicesFlowBroker.dll                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:52 AM 153600    DeviceSoftwareInstallationClient.dll                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:55 AM 106496    DeviceUpdateAgent.dll                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 13312     DeviceUxRes.dll                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:18 AM  620560    devinv.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 145622    devmgmt.msc                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 827392    devmgr.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 13091     DevModeRunAsUserConfig.msc                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 156000    devobj.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 123904    DevPropMgr.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 34304     DevQueryBroker.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 59392     devrtl.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 45568     dfdts.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 52736     DFDWiz.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 576512    dfrgui.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 64512     dfscli.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:33 AM 1571328   dfshim.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:55 AM 66560     DfsShlEx.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 14848     dhcpcmonitor.dll                                    
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:05 AM  368640    dhcpcore.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:05 AM  281600    dhcpcore6.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 91648     dhcpcsvc.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 68096     dhcpcsvc6.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 217088    dhcpsapi.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:10:54 PM 4066816   DHolographicDisplay.dll                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 1053696   DiagCpl.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 99840     DiagnosticInvoker.dll                               
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 308224    DiagnosticLogCSP.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 1329664   diagperf.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 210944    DiagSvc.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  3557888   diagtrack.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 240128    dialclient.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 37376     dialer.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 180224    dialserver.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 492032    DictationManager.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 348160    difxapi.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 43520     dimsjob.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 47104     dimsroam.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 168448    dinput.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 220160    dinput8.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 25088     Direct2DDesktop.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 605872    directmanipulation.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 1694720   directml.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:26 AM  289792    discan.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 47682     diskmgmt.msc                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 155648    diskpart.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:20 AM 25088     diskperf.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 337920    diskraid.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 83978     DiskSnapshot.conf                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 92160     DiskSnapshot.exe                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 290616    Dism.exe                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 1005368   DismApi.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 372224    DispBroker.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 124928    dispdiag.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 29184     dispex.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 154112    Display.dll                                         
-a---- BUILTIN\Administrators      2/17/2016 3:45:26 AM  826090    DisplayAudiox64.cab                                 
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:11 AM  171520    DisplayManager.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 1925168   DisplaySwitch.exe                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 602       DisplaySystemToastIcon.contrast-white.png           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 346       DisplaySystemToastIcon.png                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 15360     djctq.rs                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 73728     djoin.exe                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 21304     dllhost.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:42 AM 12800     dllhst3g.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:10:59 PM 291840    dlnashext.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 10752     DMAlertListener.ProxyStub.dll                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:24 AM 61952     DmApiSetExtImplDesktop.dll                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 2560      DMAppsRes.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 167936    dmcertinst.exe                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 38400     dmcfghost.exe                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 108544    dmcfgutils.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 120320    dmclient.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 154464    dmcmnutils.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:52 AM 14848     dmcommandlineutils.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 167424    dmcsps.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 458240    dmdlgs.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 267264    dmdskmgr.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 1064960   dmdskres.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 2560      dmdskres2.dll                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:21 AM  551936    dmenrollengine.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 301568    dmenterprisediagnostics.dll                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 56320     dmintf.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 14848     dmiso8601utils.dll                                  
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 49664     dmloader.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 32256     DmNotificationBroker.exe                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 52736     dmocx.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 30720     dmoleaututils.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 34304     DmOmaCpMo.exe                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 33792     dmprocessxmlfiltered.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 18432     dmpushproxy.dll                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:21 AM  188416    DMPushRouterCore.dll                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:34 AM 2136064   DMRCDecoder.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:10:58 PM 516472    DMRServer.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 123392    dmsynth.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 133120    dmusic.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 26624     dmutil.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 176128    dmvdsitf.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 139264    dmview.ocx                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 58368     dmwappushsvc.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:23 AM 152064    dmwmicsp.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 97792     dmxmlhelputils.dll                                  
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:04 AM  799568    dnsapi.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 32768     dnscacheugc.exe                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 134656    dnscmmc.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 9728      dnsext.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 108544    dnshc.dll                                           
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:05 AM  349184    dnsrslvr.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 143872    Docking.VirtualInput.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 14336     DockInterface.ProxyStub.dll                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:58 AM 41984     docprop.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 77312     DocumentPerformanceEvents.dll                       
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   1060504   DolbyDAX2APOProp.dll                                
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   2437144   DolbyDAX2APOv201.dll                                
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   5338936   DolbyDAX2APOv211.dll                                
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:38 AM  1077912   DolbyDecMFT.dll                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  756736    DolbyHrtfEnc.dll                                    
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  119296    DolbyMATEnc.dll                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:05 AM  392704    domgmt.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 267776    dosettings.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 18944     doskey.exe                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:05 AM  1567232   dosvc.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 92160     dot3api.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:24 AM 72192     dot3cfg.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 29184     Dot3Conn.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 57344     dot3dlg.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:24 AM 58368     dot3gpclnt.dll                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:26 AM 278016    dot3gpui.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 74752     dot3hc.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 180736    dot3mm.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 104448    dot3msm.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 265728    dot3svc.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:25 AM 317440    dot3ui.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 15872     dpapi.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:57 AM 76800     dpapimig.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 56320     dpapiprovider.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 208896    dpapisrv.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 79360     DpiScaling.exe                                      
-a---- NT AUTHORITY\SYSTEM         9/15/2018 10:29:16 AM 10240     dpnaddr.dll                                         
-a---- NT AUTHORITY\SYSTEM         9/15/2018 10:29:16 AM 10240     dpnathlp.dll                                        
-a---- NT AUTHORITY\SYSTEM         9/15/2018 10:29:16 AM 10240     dpnet.dll                                           
-a---- NT AUTHORITY\SYSTEM         9/15/2018 10:29:16 AM 10240     dpnhpast.dll                                        
-a---- NT AUTHORITY\SYSTEM         9/15/2018 10:29:16 AM 10240     dpnhupnp.dll                                        
-a---- NT AUTHORITY\SYSTEM         9/15/2018 10:29:16 AM 10240     dpnlobby.dll                                        
-a---- NT AUTHORITY\SYSTEM         9/15/2018 10:29:16 AM 10240     dpnsvr.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 169984    dps.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 657408    dpx.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:11:00 PM 46080     DragDropExperienceCommon.dll                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 46080     DragDropExperienceDataExchangeDelegated.dll         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:56 AM 82944     driverquery.exe                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:23 AM 25600     drprov.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 279552    drt.dll                                             
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  315       DrtmAuth1.bin                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  315       DrtmAuth2.bin                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  315       DrtmAuth3.bin                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  315       DrtmAuth4.bin                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  315       DrtmAuth5.bin                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  315       DrtmAuth6.bin                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  315       DrtmAuth7.bin                                       
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  315       DrtmAuth8.bin                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 69120     drtprov.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:24 AM 54784     drttransport.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 78848     drvcfg.exe                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:14 AM  168448    drvinst.exe                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  108032    drvsetup.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:06 AM  1213752   drvstore.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 46080     dsauth.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 476160    DscCore.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:20 AM 200704    DscCoreConfProv.dll                                 
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 52152     dsclient.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:20 AM 19968     dscproxy.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:21 AM 26624     DscTimer.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 196096    dsdmo.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 130048    dskquota.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 226816    dskquoui.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 17920     DsmUserTask.exe                                     
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:07 AM  593920    dsound.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 31744     dsparse.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 170496    dsprop.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 443904    dsquery.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 744448    dsreg.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:25 AM 954368    dsregcmd.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 28936     dsrole.dll                                          
-a---- NT AUTHORITY\SYSTEM         9/15/2018 10:31:36 AM 215943    dssec.dat                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 58880     dssec.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:46 AM 153368    dssenh.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:10 AM  155648    dssvc.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:30 AM 13312     dstokenclean.exe                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 150016    Dsui.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 686080    dsuiext.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 28160     dswave.dll                                          
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   743968    DTSBassEnhancementDLL64.dll                         
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   1508936   DTSBoostDLL64.dll                                   
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   441272    DTSGainCompensatorDLL64.dll                         
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   253904    DTSGFXAPO64.dll                                     
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   252880    DTSGFXAPONS64.dll                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 37888     dtsh.dll                                            
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   253872    DTSLFXAPO64.dll                                     
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   445400    DTSLimiterDLL64.dll                                 
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   504312    DTSNeoPCDLL64.dll                                   
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   1591064   DTSS2HeadphoneDLL64.dll                             
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   1780624   DTSS2SpeakerDLL64.dll                               
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   727440    DTSSymmetryDLL64.dll                                
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   500560    DTSU2PGFX64.dll                                     
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   514528    DTSU2PLFX64.dll                                     
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   428232    DTSU2PREC64.dll                                     
-a---- BUILTIN\Administrators      3/4/2016 3:51:50 AM   708320    DTSVoiceClarityDLL64.dll                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:20 AM 133632    DTUHandler.exe                                      
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:20 AM 22016     DTUHandlerPS.dll                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:39 AM 122368    DuCsps.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 1761280   dui70.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 581120    duser.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 48128     dusmapi.dll                                         
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:26 AM  359424    dusmsvc.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:13 AM 37376     dusmtask.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:22 AM 11776     dvdplay.exe                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 50176     dwm.exe                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 168456    dwmapi.dll                                          
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:19 AM  3504128   dwmcore.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 62464     dwmghost.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:44 AM 52024     dwminit.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:45 AM 130560    dwmredir.dll                                        
-a---- NT SERVICE\TrustedInstaller 5/15/2019 7:00:11 AM  3092480   DWrite.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 217088    DWWIN.EXE                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 370176    dxdiag.exe                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 374784    dxdiagn.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 780608    dxgi.dll                                            
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 48128     dxgiadaptercache.exe                                
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 20992     dxgwdi.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 1268224   dxilconv.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 12:09:43 PM 7168      dxmasf.dll                                          
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 467968    DXP.dll                                             
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 37888     dxpps.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 308224    Dxpserver.exe                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:14 AM 1432064   DxpTaskSync.dll                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 472576    dxtmsft.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:29:16 AM 282112    dxtrans.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:32 AM 128296    dxva2.dll                                           
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 745552    DynamicLong.bin                                     
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 515152    DynamicMedium.bin                                   
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 323152    DynamicShort.bin                                    
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:50 AM 56320     dynamoapi.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:38 AM 50176     EAMProgressHandler.dll                              
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:23 AM 13824     Eap3Host.exe                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 320000    eapp3hst.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 239616    eappcfg.dll                                         
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:51 AM 312832    eappcfgui.dll                                       
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 105984    eappgnui.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 302080    eapphost.dll                                        
-a---- NT SERVICE\TrustedInstaller 9/15/2018 10:28:22 AM 72704     eappprxy.dll                                        
